,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
0,18.0,8,307.0,130.0,3504.0,12.0,70,USA
1,15.0,8,350.0,165.0,3693.0,11.5,70,USA
2,18.0,8,318.0,150.0,3436.0,11.0,70,USA
3,16.0,8,304.0,150.0,3433.0,12.0,70,USA
4,17.0,8,302.0,140.0,3449.0,10.5,70,USA
5,15.0,8,429.0,198.0,4341.0,10.0,70,USA
6,14.0,8,454.0,220.0,4354.0,9.0,70,USA
7,14.0,8,440.0,215.0,4312.0,8.5,70,USA
8,14.0,8,455.0,225.0,4425.0,10.0,70,USA
9,15.0,8,390.0,190.0,3850.0,8.5,70,USA
10,15.0,8,383.0,170.0,3563.0,10.0,70,USA
11,14.0,8,340.0,160.0,3609.0,8.0,70,USA
12,15.0,8,400.0,150.0,3761.0,9.5,70,USA
13,14.0,8,455.0,225.0,3086.0,10.0,70,USA
14,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
15,22.0,6,198.0,95.0,2833.0,15.5,70,USA
16,18.0,6,199.0,97.0,2774.0,15.5,70,USA
17,21.0,6,200.0,85.0,2587.0,16.0,70,USA
18,27.0,4,97.0,88.0,2130.0,14.5,70,Japan
19,26.0,4,97.0,46.0,1835.0,20.5,70,Europe
20,25.0,4,110.0,87.0,2672.0,17.5,70,Europe
21,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
22,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
23,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
24,21.0,6,199.0,90.0,2648.0,15.0,70,USA
25,10.0,8,360.0,215.0,4615.0,14.0,70,USA
26,10.0,8,307.0,200.0,4376.0,15.0,70,USA
27,11.0,8,318.0,210.0,4382.0,13.5,70,USA
28,9.0,8,304.0,193.0,4732.0,18.5,70,USA
29,27.0,4,97.0,88.0,2130.0,14.5,71,Japan
30,28.0,4,140.0,90.0,2264.0,15.5,71,USA
31,25.0,4,113.0,95.0,2228.0,14.0,71,Japan
32,25.0,4,98.0,,2046.0,19.0,71,USA
33,19.0,6,232.0,100.0,2634.0,13.0,71,USA
34,16.0,6,225.0,105.0,3439.0,15.5,71,USA
35,17.0,6,250.0,100.0,3329.0,15.5,71,USA
36,19.0,6,250.0,88.0,3302.0,15.5,71,USA
37,18.0,6,232.0,100.0,3288.0,15.5,71,USA
38,14.0,8,350.0,165.0,4209.0,12.0,71,USA
39,14.0,8,400.0,175.0,4464.0,11.5,71,USA
40,14.0,8,351.0,153.0,4154.0,13.5,71,USA
41,14.0,8,318.0,150.0,4096.0,13.0,71,USA
42,12.0,8,383.0,180.0,4955.0,11.5,71,USA
43,13.0,8,400.0,170.0,4746.0,12.0,71,USA
44,13.0,8,400.0,175.0,5140.0,12.0,71,USA
45,18.0,6,258.0,110.0,2962.0,13.5,71,USA
46,22.0,4,140.0,72.0,2408.0,19.0,71,USA
47,19.0,6,250.0,100.0,3282.0,15.0,71,USA
48,18.0,6,250.0,88.0,3139.0,14.5,71,USA
49,23.0,4,122.0,86.0,2220.0,14.0,71,USA
50,28.0,4,116.0,90.0,2123.0,14.0,71,Europe
51,30.0,4,79.0,70.0,2074.0,19.5,71,Europe
52,30.0,4,88.0,76.0,2065.0,14.5,71,Europe
53,31.0,4,71.0,65.0,1773.0,19.0,71,Japan
54,35.0,4,72.0,69.0,1613.0,18.0,71,Japan
55,27.0,4,97.0,60.0,1834.0,19.0,71,Europe
56,26.0,4,91.0,70.0,1955.0,20.5,71,USA
57,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
58,25.0,4,97.5,80.0,2126.0,17.0,72,USA
59,23.0,4,97.0,54.0,2254.0,23.5,72,Europe
60,20.0,4,140.0,90.0,2408.0,19.5,72,USA
61,21.0,4,122.0,86.0,2226.0,16.5,72,USA
62,13.0,8,350.0,165.0,4274.0,12.0,72,USA
63,14.0,8,400.0,175.0,4385.0,12.0,72,USA
64,15.0,8,318.0,150.0,4135.0,13.5,72,USA
65,14.0,8,351.0,153.0,4129.0,13.0,72,USA
66,17.0,8,304.0,150.0,3672.0,11.5,72,USA
67,11.0,8,429.0,208.0,4633.0,11.0,72,USA
68,13.0,8,350.0,155.0,4502.0,13.5,72,USA
69,12.0,8,350.0,160.0,4456.0,13.5,72,USA
70,13.0,8,400.0,190.0,4422.0,12.5,72,USA
71,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
72,15.0,8,304.0,150.0,3892.0,12.5,72,USA
73,13.0,8,307.0,130.0,4098.0,14.0,72,USA
74,13.0,8,302.0,140.0,4294.0,16.0,72,USA
75,14.0,8,318.0,150.0,4077.0,14.0,72,USA
76,18.0,4,121.0,112.0,2933.0,14.5,72,Europe
77,22.0,4,121.0,76.0,2511.0,18.0,72,Europe
78,21.0,4,120.0,87.0,2979.0,19.5,72,Europe
79,26.0,4,96.0,69.0,2189.0,18.0,72,Europe
80,22.0,4,122.0,86.0,2395.0,16.0,72,USA
81,28.0,4,97.0,92.0,2288.0,17.0,72,Japan
82,23.0,4,120.0,97.0,2506.0,14.5,72,Japan
83,28.0,4,98.0,80.0,2164.0,15.0,72,USA
84,27.0,4,97.0,88.0,2100.0,16.5,72,Japan
85,13.0,8,350.0,175.0,4100.0,13.0,73,USA
86,14.0,8,304.0,150.0,3672.0,11.5,73,USA
87,13.0,8,350.0,145.0,3988.0,13.0,73,USA
88,14.0,8,302.0,137.0,4042.0,14.5,73,USA
89,15.0,8,318.0,150.0,3777.0,12.5,73,USA
90,12.0,8,429.0,198.0,4952.0,11.5,73,USA
91,13.0,8,400.0,150.0,4464.0,12.0,73,USA
92,13.0,8,351.0,158.0,4363.0,13.0,73,USA
93,14.0,8,318.0,150.0,4237.0,14.5,73,USA
94,13.0,8,440.0,215.0,4735.0,11.0,73,USA
95,12.0,8,455.0,225.0,4951.0,11.0,73,USA
96,13.0,8,360.0,175.0,3821.0,11.0,73,USA
97,18.0,6,225.0,105.0,3121.0,16.5,73,USA
98,16.0,6,250.0,100.0,3278.0,18.0,73,USA
99,18.0,6,232.0,100.0,2945.0,16.0,73,USA
100,18.0,6,250.0,88.0,3021.0,16.5,73,USA
101,23.0,6,198.0,95.0,2904.0,16.0,73,USA
102,26.0,4,97.0,46.0,1950.0,21.0,73,Europe
103,11.0,8,400.0,150.0,4997.0,14.0,73,USA
104,12.0,8,400.0,167.0,4906.0,12.5,73,USA
105,13.0,8,360.0,170.0,4654.0,13.0,73,USA
106,12.0,8,350.0,180.0,4499.0,12.5,73,USA
107,18.0,6,232.0,100.0,2789.0,15.0,73,USA
108,20.0,4,97.0,88.0,2279.0,19.0,73,Japan
109,21.0,4,140.0,72.0,2401.0,19.5,73,USA
110,22.0,4,108.0,94.0,2379.0,16.5,73,Japan
111,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
112,19.0,4,122.0,85.0,2310.0,18.5,73,USA
113,21.0,6,155.0,107.0,2472.0,14.0,73,USA
114,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
115,15.0,8,350.0,145.0,4082.0,13.0,73,USA
116,16.0,8,400.0,230.0,4278.0,9.5,73,USA
117,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
118,24.0,4,116.0,75.0,2158.0,15.5,73,Europe
119,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
120,19.0,4,121.0,112.0,2868.0,15.5,73,Europe
121,15.0,8,318.0,150.0,3399.0,11.0,73,USA
122,24.0,4,121.0,110.0,2660.0,14.0,73,Europe
123,20.0,6,156.0,122.0,2807.0,13.5,73,Japan
124,11.0,8,350.0,180.0,3664.0,11.0,73,USA
125,20.0,6,198.0,95.0,3102.0,16.5,74,USA
126,21.0,6,200.0,,2875.0,17.0,74,USA
127,19.0,6,232.0,100.0,2901.0,16.0,74,USA
128,15.0,6,250.0,100.0,3336.0,17.0,74,USA
129,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
130,26.0,4,122.0,80.0,2451.0,16.5,74,USA
131,32.0,4,71.0,65.0,1836.0,21.0,74,Japan
132,25.0,4,140.0,75.0,2542.0,17.0,74,USA
133,16.0,6,250.0,100.0,3781.0,17.0,74,USA
134,16.0,6,258.0,110.0,3632.0,18.0,74,USA
135,18.0,6,225.0,105.0,3613.0,16.5,74,USA
136,16.0,8,302.0,140.0,4141.0,14.0,74,USA
137,13.0,8,350.0,150.0,4699.0,14.5,74,USA
138,14.0,8,318.0,150.0,4457.0,13.5,74,USA
139,14.0,8,302.0,140.0,4638.0,16.0,74,USA
140,14.0,8,304.0,150.0,4257.0,15.5,74,USA
141,29.0,4,98.0,83.0,2219.0,16.5,74,Europe
142,26.0,4,79.0,67.0,1963.0,15.5,74,Europe
143,26.0,4,97.0,78.0,2300.0,14.5,74,Europe
144,31.0,4,76.0,52.0,1649.0,16.5,74,Japan
145,32.0,4,83.0,61.0,2003.0,19.0,74,Japan
146,28.0,4,90.0,75.0,2125.0,14.5,74,USA
147,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
148,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
149,24.0,4,120.0,97.0,2489.0,15.0,74,Japan
150,26.0,4,108.0,93.0,2391.0,15.5,74,Japan
151,31.0,4,79.0,67.0,2000.0,16.0,74,Europe
152,19.0,6,225.0,95.0,3264.0,16.0,75,USA
153,18.0,6,250.0,105.0,3459.0,16.0,75,USA
154,15.0,6,250.0,72.0,3432.0,21.0,75,USA
155,15.0,6,250.0,72.0,3158.0,19.5,75,USA
156,16.0,8,400.0,170.0,4668.0,11.5,75,USA
157,15.0,8,350.0,145.0,4440.0,14.0,75,USA
158,16.0,8,318.0,150.0,4498.0,14.5,75,USA
159,14.0,8,351.0,148.0,4657.0,13.5,75,USA
160,17.0,6,231.0,110.0,3907.0,21.0,75,USA
161,16.0,6,250.0,105.0,3897.0,18.5,75,USA
162,15.0,6,258.0,110.0,3730.0,19.0,75,USA
163,18.0,6,225.0,95.0,3785.0,19.0,75,USA
164,21.0,6,231.0,110.0,3039.0,15.0,75,USA
165,20.0,8,262.0,110.0,3221.0,13.5,75,USA
166,13.0,8,302.0,129.0,3169.0,12.0,75,USA
